transaction_id,anomaly_score,is_anomaly,severity,user_id,date,total_harga,merchant,kategori,hour,amount_rolling_ratio,merchant_freq_ratio,is_unusual_hour,category_freq_ratio,anomaly_types
0,0.02928701,False,normal,U001,2024-01-01 01:10:00,3275,parkir malioboro,transport,1,0.04993519859724022,0.022222222222222223,0,0.0028653295128939827,['GENERAL_ANOMALY']
1,0.90608305,True,high,U001,2024-01-01 10:22:00,140936,miniso,kebutuhan rumah,10,43.020757020757024,0.0038314176245210726,0,0.0030959752321981426,['SPENDING_SPIKE']
2,0.03780152,False,normal,U001,2024-01-02 22:26:00,107298,pertamina,transport,22,1.4880489276278837,0.03571428571428571,0,0.0057306590257879654,['GENERAL_ANOMALY']
3,0.0395501,False,normal,U001,2024-01-02 23:57:00,14968,depot air minum,kebutuhan rumah,23,0.17853621298387354,0.1,0,0.006191950464396285,['GENERAL_ANOMALY']
4,0.03680233,False,normal,U001,2024-01-03 00:26:00,96612,pertamina,transport,0,1.4501896945748478,0.07142857142857142,0,0.008595988538681949,['GENERAL_ANOMALY']
5,0.02051081,False,normal,U001,2024-01-03 01:30:00,14674,warmindo,makanan & minuman,1,0.2020688857430858,0.023255813953488372,0,0.003205128205128205,['GENERAL_ANOMALY']
6,0.0182315,False,normal,U001,2024-01-04 08:59:00,3260,transjogja,transport,8,0.05177767365771146,0.05263157894736842,0,0.011461318051575931,['GENERAL_ANOMALY']
7,0.02385011,False,normal,U001,2024-01-06 02:42:00,123715,kai access,transport,2,2.2728000419914443,0.038461538461538464,0,0.014326647564469915,['GENERAL_ANOMALY']
8,0.03389884,False,normal,U001,2024-01-07 05:26:00,127231,kai access,transport,5,2.016554861256949,0.07692307692307693,0,0.017191977077363897,['GENERAL_ANOMALY']
9,0.04857357,False,normal,U001,2024-01-08 02:25:00,149600,shopee official store,makanan & minuman,2,2.1304539082056655,0.02631578947368421,0,0.00641025641025641,['GENERAL_ANOMALY']
10,0.03282631,False,normal,U001,2024-01-09 00:24:00,4815,eparking,transport,0,0.06160605645750462,0.05,0,0.02005730659025788,['GENERAL_ANOMALY']
11,0.02489834,False,normal,U001,2024-01-09 02:16:00,99199,miniso,kebutuhan rumah,2,1.266716808045776,0.007662835249042145,0,0.009287925696594427,['GENERAL_ANOMALY']
12,0.0283782,False,normal,U001,2024-01-09 03:40:00,95714,pertamina,transport,3,1.2910213628062186,0.10714285714285714,0,0.022922636103151862,['GENERAL_ANOMALY']
